text,label
Please add the patient's history of respiratory issues to their file.,1
We need to include the patient's genetic history in the report.,1
Let's update the website with the latest product information.,0
The patient's previous surgeries are important for this treatment.,1
We need to check the patient's history of tongue disease.,1
The patient's family history of cancer needs to be evaluated.,1
Let's discuss the logistics for the upcoming event.,0
We should review the patient's allergy history before prescribing.,1
Let's discuss the logistics for the upcoming campaign.,0
We need to check the patient's history of nose disease.,1
We should plan the team-building activities for next month.,0
The patient has a family history of heart disease.,1
We should update the team on the new software implementation.,0
The patient's family history of cancer needs to be evaluated.,1
We need to check the patient's history of pancrease disease.,1
The patient's history of alcohol use should be considered.,1
We need to check the patient's history of pancrease disease.,1
The client's feedback on the recent campaign was positive.,0
We need to finalize the details for the upcoming conference.,0
We need to check the patient's history of nose disease.,1
Let's schedule a meeting to discuss the new product launch.,0
Let's discuss the logistics for the upcoming launch.,0
We need to prepare the presentation for the board meeting.,0
The patient has a family history of heart disease.,1
Let's review the latest industry trends.,0
We need to check the patient's history of neck disease.,1
Let's review the patient's history of blood transfusions.,1
Please add the patient's history of respiratory issues to their file.,1
Please add the patient's history of respiratory issues to their file.,1
Let's review the quarterly sales figures.,0
Let's go over the patient's history of mental health issues.,1
We need to check the patient's history of pancrease disease.,1
We need to check the patient's history of neck disease.,1
Let's discuss the logistics for the upcoming campaign.,0
The patient's past diagnoses need to be considered.,1
The patient's history of surgeries needs to be included in the treatment plan.,1
We need to check the patient's history of fingers disease.,1
We need to prepare the presentation for the board meeting.,0
We need to check the patient's history of lips disease.,1
We need to check the patient's history of pancrease disease.,1
We should document the patient's history of tobacco use.,1
Let's review the quarterly sales figures.,0
We need to check the patient's history of toe disease.,1
Let's review the patient's history of blood transfusions.,1
The patient has a history of diabetes that needs to be monitored.,1
Let's review the quarterly sales figures.,0
Let's review the latest industry trends.,0
The patient has a family history of heart disease.,1
The financial report needs to be submitted by Friday.,0
We need to check the patient's history of hair disease.,1
We need to check the patient's history of eyes disease.,1
We need to prepare the presentation for the board meeting.,0
We need to check the patient's history of backbone disease.,1
We should document the patient's history of tobacco use.,1
We need to finalize the details for the upcoming conference.,0
We need to check the patient's history of toe disease.,1
The patient's history of surgeries needs to be included in the treatment plan.,1
We need to check the patient's history of stomach disease.,1
We should review the patient's allergy history before prescribing.,1
We should plan the team-building activities for next month.,0
Please update the patient's history of chronic illnesses.,1
The patient has a history of hypertension; we need to monitor that.,1
Let's discuss the logistics for the upcoming festival.,0
We need to check the patient's history of nail disease.,1
Let's review the patient's history of blood transfusions.,1
We should document the patient's history of tobacco use.,1
The patient's family history of cancer needs to be evaluated.,1
We should analyze the recent customer survey results.,0
Let's discuss the logistics for the upcoming festival.,0
Let's discuss the logistics for the upcoming festival.,0
We should review the patient's allergy history before prescribing.,1
Let's discuss the logistics for the upcoming festival.,0
Let's review the latest industry trends.,0
We need to check the patient's history of tongue disease.,1
Let's go over the patient's history of mental health issues.,1
The patient's previous surgeries are important for this treatment.,1
We should document the patient's history of tobacco use.,1
We need to check the patient's history of teeth disease.,1
The patient's previous surgeries are important for this treatment.,1
Let's discuss the logistics for the upcoming campaign.,0
Please add the patient's history of respiratory issues to their file.,1
Let's review the quarterly sales figures.,0
We should discuss the new partnership opportunities.,0
Please update the patient's history of chronic illnesses.,1
Let's go over the patient's history of mental health issues.,1
Please add the patient's history of respiratory issues to their file.,1
We need to prepare the presentation for the board meeting.,0
We need to check the patient's history of toe disease.,1
Please update the patient's history of chronic illnesses.,1
Let's discuss the logistics for the upcoming seminar.,0
Let's discuss the logistics for the upcoming festival.,0
We need to check the patient's history of toe disease.,1
Let's discuss the logistics for the upcoming event.,0
The patient has a history of diabetes that needs to be monitored.,1
We need to check the patient's history of toe disease.,1
We need to verify the patient's history of immunizations.,1
Let's discuss the logistics for the upcoming conference.,0
We should plan the team-building activities for next month.,0
We need to check the patient's history of nail disease.,1
We need to include the patient's genetic history in the report.,1
Let's discuss the logistics for the upcoming festival.,0
Let's discuss the budget allocation for the new project.,0
Please add the patient's history of respiratory issues to their file.,1
We need to check the patient's history of knee disease.,1
The marketing team needs to revise the campaign strategy.,0
The patient has a history of hypertension; we need to monitor that.,1
Let's review the quarterly sales figures.,0
We should analyze the recent customer survey results.,0
We should review the patient's allergy history before prescribing.,1
We need to check the patient's history of lips disease.,1
Let's discuss the logistics for the upcoming project.,0
We need to check the patient's history of nose disease.,1
The patient's past diagnoses need to be considered.,1
We should analyze the recent customer survey results.,0
We need to improve the customer support process.,0
We need to check the patient's history of eyes disease.,1
The patient's history of alcohol use should be considered.,1
We need to check the patient's history of pancrease disease.,1
We need to check the patient's history of fingers disease.,1
Let's review the patient's history of blood transfusions.,1
We need to check the patient's history of hair disease.,1
The patient's past diagnoses need to be considered.,1
The patient's family history of cancer needs to be evaluated.,1
We should plan the team-building activities for next month.,0
We should plan the team-building activities for next month.,0
We need to finalize the details for the upcoming conference.,0
Let's discuss the logistics for the upcoming campaign.,0
Let's review the patient's history of blood transfusions.,1
We need to include the patient's genetic history in the report.,1
Let's schedule a meeting to discuss the new product launch.,0
The patient's previous hospitalizations should be documented.,1
We need to prepare the presentation for the board meeting.,0
We should update the team on the new software implementation.,0
Let's schedule a meeting to discuss the new product launch.,0
Let's review the patient's history of blood transfusions.,1
We need to prepare the presentation for the board meeting.,0
We need to check the patient's history of head disease.,1
Let's go over the patient's history of mental health issues.,1
The patient's history of surgeries needs to be included in the treatment plan.,1
The patient's past diagnoses need to be considered.,1
We need to check the patient's history of stomach disease.,1
Let's discuss the logistics for the upcoming festival.,0
We need to check the patient's history of tongue disease.,1
Let's discuss the logistics for the upcoming conference.,0
We should plan the marketing strategy for the next quarter.,0
Let's discuss the logistics for the upcoming event.,0
The marketing team needs to revise the campaign strategy.,0
We need to check the patient's history of hair disease.,1
We need to check the patient's history of tongue disease.,1
The patient has a history of diabetes that needs to be monitored.,1
Let's review the patient's history of blood transfusions.,1
We need to check the patient's history of tongue disease.,1
The patient's past diagnoses need to be considered.,1
We need to check the patient's history of tongue disease.,1
We should plan the marketing strategy for the next quarter.,0
The patient's family history of cancer needs to be evaluated.,1
Let's discuss the logistics for the upcoming festival.,0
Please add the patient's history of respiratory issues to their file.,1
The marketing team needs to revise the campaign strategy.,0
We should plan the team-building activities for next month.,0
Let's discuss the logistics for the upcoming festival.,0
We need to verify the patient's history of immunizations.,1
The patient's family history of cancer needs to be evaluated.,1
Let's discuss the logistics for the upcoming project.,0
The patient's family history of cancer needs to be evaluated.,1
Let's schedule a meeting to discuss the new product launch.,0
We should update the team on the new software implementation.,0
We need to verify the patient's history of immunizations.,1
Let's discuss the logistics for the upcoming project.,0
Let's discuss the logistics for the upcoming conference.,0
We should analyze the recent customer survey results.,0
Let's discuss the recruitment plan for the next quarter.,0
We need to prepare the presentation for the board meeting.,0
The patient's history of surgeries needs to be included in the treatment plan.,1
Let's discuss the budget allocation for the new project.,0
The patient's history of surgeries needs to be included in the treatment plan.,1
The patient's history of surgeries needs to be included in the treatment plan.,1
We should review the patient's allergy history before prescribing.,1
We need to check the patient's history of teeth disease.,1
We need to check the patient's history of toe disease.,1
Let's go over the patient's history of mental health issues.,1
We need to check the patient's history of backbone disease.,1
The client's feedback on the recent campaign was positive.,0
The client's feedback on the recent campaign was positive.,0
Let's review the patient's history of blood transfusions.,1
The client's feedback on the recent campaign was positive.,0
Let's discuss the recruitment plan for the next quarter.,0
We need to check the patient's history of pancrease disease.,1
We need to check the patient's history of teeth disease.,1
The marketing team needs to revise the campaign strategy.,0
Please update the patient's history of chronic illnesses.,1
We need to check the patient's history of lungs disease.,1
We need to include the patient's genetic history in the report.,1
We need to check the patient's history of nail disease.,1
We need to improve the customer support process.,0
We need to check the patient's history of nail disease.,1
Let's schedule a meeting to discuss the new product launch.,0
